Date,Service Visit,Cinema Name,Address,Contact Details ,Screen No:,Projector Model,Serial No.,Lamp Model & Make,Engineer Visited,Projector Number of hours running:,Lamp Number of hours running:,Reflector,UV filter,Integrator Rod,Cold Mirror,Fold Mirror,Touch Panel,EVB Board,IMCB Board/s,PIB Board,ICP Board,IMB/S Board,Chassis label vs Touch Panel,"LE, LAD and RAD",Level and Color,White,Red,Green,Blue,Black,AC blower and Vane Switch,Extractor Vane Switch,Exhaust CFM,Light Engine 4 fans with LAD fan,Card Cage Top and Bottom fans,Radiator fan and Pump,Connector and hose for the Pump,Security and lamp house lock switch,"Lamp LOC Mechanism X,Y and Z movement",YES1,Yes2,YES3,YES4,YES5,YES6,YES7,YES8,YES9,YES10,YES11,YES12,YES13,YES14,YES15,YES16,YES17,YES18,YES19,YES20,YES21,YES22,YES23,YES24,YES25,YES26,YES27,YES28,LE Status,Current Lamp Hours,AC Status,LE S No, P V N,P V E,N VS E,  fL_B,  fL_A,Content player model,Room,Remark_1,Remark_2,Remark_3,Remark_4,Remark_5,Remark_6,P1,P2,P3,P4,P5,P6,PN1,PN2,PN3,PN4,PN5,PN6,photo,Scope_H,Scope_W,Flat_H,Flat_W,Screen Make,Throw Distance,Gain,x,y,fl,x2,y2,fl2,W2Kx,W4Kx,R2Kx,R4Kx,G2Kx,G4Kx,B2Kx,B4Kx,W2Ky,W4Ky,R2Ky,R4Ky,G2Ky,G4Ky,B2Ky,B4Ky,W2Kfl,W4Kfl,R2Kfl,R4Kfl,G2Kfl,G4Kfl,B2Kfl,B4Kfl,Software Version,Air Pollution Level,HCHO,TVOC,PM 1,PM 2.5,PM 10,Temperature,Humidity,Focus,Intergrator,Any Spot on Screen after PPM,Check Screen cropping - FLAT and SCOPE,Convergence checked,"Channels Checked - Scope, Flat, Alternative",Pixel Defects,Excessive Image Vibration,LiteLOC
"Friday, February 09, 2024",First,PVR INOX Cinema,"Regalia Elements Mall, Nagavara Bengaluru",Mr. Chikkaningaiah - 9008339599,5,CP2230,354697002,OSRAM - 3KW DTP,Satish,42612,38843,Alarming Chipped from edge,-,-,-,-,-,-,-,-,-,-,-,Need to be replaced,-,Alarming- Colour Spot on unfocused,-,-,-,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,YES,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,-,-,-,-,-,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,229,228,1,18.4,19.2,ShowVault-IMB,Dusty,"Service done, working ok.",Light sensor cover need to be replaced,Reflector can be replaced,LAD Fan assembly to be replaced,LE need to factory serviced,-,"12"" Glass Reflector",-,-,-,-,-,03-240115-51P,-,-,-,-,-,https://drive.google.com/drive/folders/1PySKUDR2ShEVY_MUm8iydbgtJbGsP0IX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sunday, February 11, 2024",First,PVR INOX Cinema,"VR Mall, Whitefield Bengaluru",Mr. Mahadeva Swamy - 9742597622,7,CP2230,366507002,OSRAM - 6KW,Manoj,41907,34809,-,-,Chipped Off,-,-,-,-,-,-,-,-,-,Need to be replaced,Need to top-up,-,-,-,-,-,Alarming- AC blower damage,-,-,-,-,-,-,-,-,OK,OK,YES,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,YES,OK,-,-,-,OK,YES,-,-,-,OK,OK,OK,OK,OK,-,-,-,-,228,227,1,18,19.6,ShowVault-IMB,Dusty,"Service done, working ok.",Black shadow coming on screen bottomright side due to integrator rod crack from lamp side.,AC blower blade found broken and due to this vibration issue reported,-,-,-,Integrator Rod Assembly,Lamp Blower AC Fan,-,-,-,-,03-240100-51P,03-000158-61P,-,-,-,-,https://drive.google.com/drive/folders/1fugPnugAV6S7TIDQi4JSKC0Gb50gSxdS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Monday, February 12, 2024",First,PVR INOX Cinema,"VR Mall, Whitefield Bengaluru",Mr. Mahadeva Swamy - 9742597622,2,CP2220,365657008,CDXL - 30,Manoj,41928,29752,-,-,-,-,Chipped from edge,-,-,-,-,-,-,-,Replaced,Need to top-up,Alarming- Colour Spot on unfocused,-,-,-,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,OK,OK,OK,OK,YES,OK,OK,OK,OK,OK,OK,OK,OK,YES,-,-,-,-,-,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,228,227,1,8.2,13.2,ShowVault-IMB,Tilted and  Dusty,"Service done, working ok.",LE require factory cleaning.,-,-,-,-,Cold Mirror (130x 90) ,-,-,-,-,-,003-001528-01,-,-,-,-,-,https://drive.google.com/drive/folders/16t2qTX86aD66AHdMSiB_uGkfU27joWPk,5.6,13.2,-,-,Harkness,21.03,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Monday, February 12, 2024",First,PVR INOX Cinema,"VR Mall, Whitefield Bengaluru",Mr. Mahadeva Swamy - 9742597622,8,CP4220,394624007,CDXL - 20,Satish,33591,26298,chipped,-,-,Chipped from edge,-,-,-,-,-,-,-,-,Need to be replaced,Need to top-up,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,-,-,-,-,YES,OK,OK,YES,OK,OK,OK,OK,OK,OK,OK,OK,YES,YES,-,-,-,-,OK,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,228,229,1,23.4,36.4,ShowVault-IMB,Dusty,"Service done, working ok.",LE need to be factory serviced,Cold mirror can be replaced,LE/LAD/RAD need to be replaced,Coolant need to be replaced,-,Optical Reflector & Cooling Duct,Cold Mirror (120x 90),-,-,-,-,003-001189-01,003-001527-01,-,-,-,-,https://drive.google.com/drive/folders/1KquDi7XYSF7hr1uivG37LdlcqfDIJBLx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tuesday, February 13, 2024",First,PVR INOX Cinema,"Regalia Elements Mall, Nagavara Bengaluru",Mr. Shivanand - 7026141435,2,CP4220,352540003,OSRAM - 3KW DTS,Satish,44367,41139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,-,-,-,-,OK,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,229,228,1,12.8,13.3,ShowVault-IMB,OK,"Service done, working ok.",Light sensor cover need to be replaced,LE Need to be factory serviced,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://drive.google.com/drive/folders/1VWzrVE7SPf8UOonCNFGeiSwGFBW_BpcC,5.6,13.1,-,-,Strong MDI,22.49,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Tuesday, February 13, 2024",First,PVR INOX Cinema,"VR Mall, Whitefield Bengaluru",Mr. Mahadeva Swamy - 9742597622,5,CP2230,366507014,CDXL - 60,Satish,35763,26312,Chipped from Edge,-,-,-,-,-,-,-,-,-,-,-,Need to be replaced,Need to top-up,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,-,-,-,-,YES,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,YES,-,-,-,-,OK,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,228,229,1,10.7,11.1,ShowVault-IMB,Dusty,"Service done, working ok.",LE need factory cleaning,Light sensor cover need to be replaced,Reflector need to be replaced,LE/LAD/RAD need to be replaced,AC Blower rubber packing need to be installed and replaced,"12"" Glass Reflector",-,-,-,-,-,03-240115-51P,-,-,-,-,-,https://drive.google.com/drive/folders/1f2WVMFFhVyneafcxNFazUEwrngGZX74k,7.28,17.09,-,-,Harkness,25.11,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Wednesday, February 14, 2024",First,PVR INOX Cinema,"Regalia Elements Mall, Nagavara Bengaluru",Mr. Shivanand - 7026141435,7,CP2220,347865006,OSRAM - 3KW DTS,Satish,43664,39290,-,-,-,-,-,-,-,-,-,-,-,-,Need to be replaced,-,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,-,-,-,-,OK,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,229,228,1,23.8,24.2,GDC IMB,OK,"Service done, working ok.",Radiator air filter cover need to be replaced,LE need to be factory serviced,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://drive.google.com/drive/folders/1gIz3dJZxdXtx4seXZfVnp7BbECUMjbB_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Thursday, February 15, 2024",First,PVR INOX Cinema,"Regalia Elements Mall, Nagavara Bengaluru",Mr. Shivanand - 7026141435,3,CP2220,347710014,OSRAM - 3KW DTS,Satish,43534,39573,-,Chipped off from edge,-,-,chipped from edge,-,-,-,-,-,-,-,-,-,Alarming- Colour Spot on unfocused,Alarming- Colour Spot on unfocused,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,-,-,OK,YES,OK,OK,YES,OK,OK,OK,OK,OK,OK,OK,OK,OK,-,-,-,-,OK,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,228,229,1,30,33,GDC IMB,Dust,"Service done, working ok.",Back door damage on TPC placement ,AC Blower plastic base need to be replaced,LE need to factory serviced,-,-,UV Filter,Cold Mirror (130x 90) ,-,-,-,-,003-001568-02,003-001528-01,-,-,-,-,https://drive.google.com/drive/folders/18UGnpl_1_rOY0hWC9bE9q_D-IFqoSxgW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sunday, February 18, 2024",First,PVR INOX Cinema,Phoenix Marketcity Mall Bengaluru,Mr. Mahadeva - 6362676205,3,CP2230,316174020,CDXL - 30,Satish,60835,48992,-,-,-,-,-,-,-,-,-,-,-,-,Need to be replaced,-,Alarming- Colour Spot on unfocused,-,-,-,-,Alarming- AC blower damage,-,-,-,One top and one bottom to be replaced,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,OK,-,-,-,-,OK,YES,-,-,-,YES,OK,OK,OK,OK,-,-,-,-,228,229,1,12.5,13.5,GDC IMB,Dusty,"Service done, working ok.",Card cage Top/Bottom right fan need to be replaced,LE/LAD/RAD Filetr need to be replaced,AC Blower rubber packing need to be replaced,Cathode lamp duct need to be replaced,LE need to be factory serviced,Lamp Blower AC Fan,Vane Extractor Duct,Fan 12V 0.45A 4-Wire 60mm,ASSY Fan 12V 0.6A 4-Wire 92MM,-,-,03-000158-61P,003-003699-02,003-111381-01,003-110827-03,-,-,https://drive.google.com/drive/folders/1KR6ey7tw3x7TcunD2t4zVxT90AregBAf,5.59,12.72,-,-,Harkness,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Sunday, February 18, 2024",First,PVR INOX Cinema,Phoenix Marketcity Mall Bengaluru,Mr. Mahadeva - 6362676205,4,CP2220,317518002,CDXL - 30SD,Satish,67159,43360,-,Solarization,-,-,-,-,-,-,-,-,-,-,Need to be replaced,Need to top-up,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,One bottom fan to be replaced,-,-,-,-,OK,YES,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,YES,YES,-,-,-,-,OK,OK,OK,-,-,YES,OK,OK,OK,OK,-,-,-,-,228,229,1,15.6,19.4,GDC IMB,Dusty,"Service done, working ok.",Card cage Bottom right fan need to be replaced,LE/LAD/RAD Filetr need to be replaced,UV Filter centre dark spot can be replaced,Extractor fan interlock switch need to be replaced,LE need to be factory serviced,UV Filter,ASSY Fan 12V 0.6A 4-Wire 92MM,-,-,-,-,003-001568-02,003-110827-03,-,-,-,-,https://drive.google.com/drive/folders/1zxllAUD9qiQ1cxqMLe6vY9qhPDuyeJ89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Monday, February 19, 2024",First,PVR INOX Cinema,Grand Mall Velachery Chennai Tamil Nadu,Mr. Balamurugan - 8072187292,2,CP2220,337655019,OSRAM - 3KW DTS,Manoj,39120,32629,-,-,-,-,-,-,-,-,-,-,-,-,Replaced,-,Alarming- Colour Spot on unfocused,-,-,-,Alarming- Colour Spot on unfocused,-,-,-,-,-,-,-,-,-,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,-,-,-,-,-,OK,OK,-,-,OK,OK,OK,OK,OK,-,-,-,-,229,228,1,16,20.2,GDC IMB,OK,"Service done, working ok.",LE require factory cleaning.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://drive.google.com/drive/folders/1UpBI-PPJfkNHo6sLzq97V9RU-ZAYbx6_,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
